ngram,text,page_index,line_index,offset_in_line,context,full_line,occurrence_index,total_for_gram,frequency_pct,exported_at
ag,ag,0,3,52,‧ & pago men,"
                    
                    quos ‧ & pago menes ‧ uel int̅caleres siue
                    
                ",1,1,0.7692,2026-03-12T15:19:43.394Z
an,an,2,6,61,u̅ ‧ antiqui,"
                    
                    tur ‧ que̅ annu̅ ‧ antiqui ‧ inde uicissimo",1,1,0.7692,2026-03-12T15:20:09.324Z
ar,ar,3,1,50,us quartus ‧,"
                    
                    annus quartus ‧ olimpio ‧ agone q; uenit
                    
                ",1,1,0.7692,2026-03-12T15:20:17.565Z
ari,ari,0,6,46, Januarius cu,"
                    
                    Januarius cu̅ dece̅brio in horaru̅ m̅sura
                    
                ",1,1,0.7692,2026-03-12T15:19:43.394Z
as,as,2,16,56,ies pascalis,"
                    
                    longius dies pascalis protenditur ;",1,1,0.7692,2026-03-12T15:20:09.324Z
eg,eg,2,19,52, collegitur ,"
                    
                    su̅ma collegitur ; annus iubelius e̅",1,3,2.3077,2026-03-12T15:20:09.324Z
eg,eg,2,22,43,    tegitur ,"
                    
                    tegitur . in quo iuxta lege̅ clangebantur
                    
                ",2,3,2.3077,2026-03-12T15:20:09.324Z
eg,eg,2,24,22,& ↄgregabant,"antiqua possesio & ↄgregabantur o̅nes
                    
                ",3,3,2.3077,2026-03-12T15:20:09.324Z
egi,egi,0,2,64,u̅ ‧ egipcior,"
                    
                    duodecim au̅ m̅siu̅ ‧ egipcioru̅ ‧ v ‧ dies suꝑsunt
                    
                ",1,1,0.7692,2026-03-12T15:19:43.394Z
el,el,2,10,75,nus uel ciui,"
                    
                    recurrit ‧ ipse & solaris annus uel ciuiles
                    
                ",1,1,0.7692,2026-03-12T15:20:09.324Z
em,em,0,4,79,ius memoratu,"
                    
                    aditos ‧ uocauer̅, dequib; superius memoratu̅ e̅;
                    
                ",1,3,2.3077,2026-03-12T15:19:43.394Z
em,em,3,2,88,nis tem,"
                    
                    trans ‧ actis annis ‧ iiii ‧ in quib; atonis tem",2,3,2.3077,2026-03-12T15:20:17.565Z
em,em,3,3,74,"uadriemni
  ","
                    
                    pus finem sortitur propt̅ quadriemni
                    
                ",3,3,2.3077,2026-03-12T15:20:17.565Z
en,en,0,3,57,ago menes ‧ ,"
                    
                    quos ‧ & pago menes ‧ uel int̅caleres siue
                    
                ",1,5,3.8462,2026-03-12T15:19:43.394Z
en,en,0,8,24,us ↄsentit ‧,ęquale sumat; marcius ↄsentit ‧ octim,2,5,3.8462,2026-03-12T15:19:43.394Z
en,en,1,15,46,t dementiue ,id ‧ e̅ circulu̅ ‧ unde & anuli dicti sunt dementiue ;,3,5,3.8462,2026-03-12T15:19:58.700Z
en,en,1,26,51,a ‧ tenebras,"
                    
                    facta ‧ tenebras ‧ tocius orbis efficiat ‧",4,5,3.8462,2026-03-12T15:19:58.700Z
en,en,3,25,57,‧ kalendaru̅,"
                    
                    hab& iiii ‧ kalendaru̅ septe̅mbriu̅; cu̅bis
                    
                ",5,5,3.8462,2026-03-12T15:20:17.565Z
ep,ep,1,11,20,s acceptabil,ecce nunc te̅pus acceptabile ‧ ; fine̅ dinique,1,1,0.7692,2026-03-12T15:19:58.700Z
er,er,3,18,75,̅ ‧ aera ex ,"
                    
                    tempore posita e̅ ; dicta au̅ ‧ aera ex quo
                    
                ",1,1,0.7692,2026-03-12T15:20:17.565Z
es,es,1,5,55, m̅nses ‧ cu,"
                    
                    duodecim m̅nses ‧ cuius quide̅ nomen",1,6,4.6154,2026-03-12T15:19:58.700Z
es,es,1,23,17,̅ses es term,"ꝑ duodece̅ m̅ses es terminatur ; annus
                    
                ",2,6,4.6154,2026-03-12T15:19:58.700Z
es,es,2,23,58,‧ o̅nes reue,"
                    
                    tubae & ad ‧ o̅nes reuertebantur",3,6,4.6154,2026-03-12T15:20:09.324Z
es,es,2,24,35,"r o̅nes
    ","antiqua possesio & ↄgregabantur o̅nes
                    
                ",4,6,4.6154,2026-03-12T15:20:09.324Z
es,es,3,19,3,o̅nes urbi,o̅nes urbis ‧ aes reddere professus e̅ rei,5,6,4.6154,2026-03-12T15:20:17.565Z
es,es,3,19,30, professus e,o̅nes urbis ‧ aes reddere professus e̅ rei,6,6,4.6154,2026-03-12T15:20:17.565Z
et,et,3,9,45,  neretur ; ,"
                    
                    neretur ; lustru̅ e̅ quinquenni tempus
                    
                ",1,1,0.7692,2026-03-12T15:20:17.565Z
ex,ex,2,3,42,     exposit,"
                    
                    exposita e̅ ; annus magnus dicitur quan",1,2,1.5385,2026-03-12T15:20:09.324Z
ex,ex,2,18,15,u̅ ‧ ex quat,quadrienniu̅ ‧ ex quatrantis racione,2,2,1.5385,2026-03-12T15:20:09.324Z
gi,gi,2,11,61,xv ꝑagitur ;,"
                    
                    qui dieb; ccclxv ꝑagitur ; annus lunaris
                    
                ",1,3,2.3077,2026-03-12T15:20:09.324Z
gi,gi,2,16,45,  longius di,"
                    
                    longius dies pascalis protenditur ;",2,3,2.3077,2026-03-12T15:20:09.324Z
gi,gi,2,26,46, & legitima ,"
                    
                    & legitima ; Olimpias uero e̅ aput gre
                    
                ",3,3,2.3077,2026-03-12T15:20:09.324Z
gn,gn,1,6,55, ‧ significa,"
                    
                    figurate ‧ significat ‧ o̅ne te̅pus ‧ uitę",1,3,2.3077,2026-03-12T15:19:58.700Z
gn,gn,2,3,64,us magnus di,"
                    
                    exposita e̅ ; annus magnus dicitur quan",2,3,2.3077,2026-03-12T15:20:09.324Z
gn,gn,2,9,44,   signa cir,"
                    
                    signa circuitu ‧ in id ‧ unde cursus sui sumit",3,3,2.3077,2026-03-12T15:20:09.324Z
le,le,2,7,63,l implerin d,"
                    
                    anno finire ‧ uel implerin dixer̅ ;",1,2,1.5385,2026-03-12T15:20:09.324Z
le,le,2,10,82," ciuiles
   ","
                    
                    recurrit ‧ ipse & solaris annus uel ciuiles
                    
                ",2,2,1.5385,2026-03-12T15:20:09.324Z
li,li,1,2,80,e̅ iulio ;,"
                    
                    respondit agusto ; junius ↄpar ‧ e̅ iulio ;",1,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,4,65,us solis ‧ a,"
                    
                    Annus ‧ e̅ circuitus solis ‧ ac reditus per",2,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,16,25,i ‧ alii a b,principiu̅ ‧ au̅ anni ‧ alii a broma putant aut po,3,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,17,2,puli roma,puli romani ; alii ab ęquinoccio uerno ;,4,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,17,15,i ; alii ab ,puli romani ; alii ab ęquinoccio uerno ;,5,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,18,55,i ; alii ‧ a,"
                    
                    ut hebrei ; alii ‧ a solisticio ut greci ;",6,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,18,65, a solistici,"
                    
                    ut hebrei ; alii ‧ a solisticio ut greci ;",7,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,19,43,    alii ab ,"
                    
                    alii ab autu̅no ut ęgipcii ;",8,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,24,48,aturalis e̅ ,"
                    
                    naturalis e̅ cu̅ se soli ‧ luna ‧ supponit ‧",9,17,13.0769,2026-03-12T15:19:58.700Z
li,li,1,24,64,se soli ‧ lu,"
                    
                    naturalis e̅ cu̅ se soli ‧ luna ‧ supponit ‧",10,17,13.0769,2026-03-12T15:19:58.700Z
li,li,2,14,54, embolismus ,"
                    
                    annus ‧ embolismus e̅ qui lunas tredecim",11,17,13.0769,2026-03-12T15:20:09.324Z
li,li,2,26,56,a ; Olimpias,"
                    
                    & legitima ; Olimpias uero e̅ aput gre
                    
                ",12,17,13.0769,2026-03-12T15:20:09.324Z
